prompt,category
Я забыл пароль от мобильного банка. Как безопасно восстановить доступ?,Клиентский сервис
Почему моя карта была заблокирована после покупки в интернете?,Клиентский сервис
"Объясни клиенту на простом языке, что такое овердрафт, как он подключается и какие риски возникают при систематическом использовании лимита.",Клиентский сервис
"Клиент спрашивает: «Почему с меня списали комиссию за обслуживание карты, если в тарифе было указано «бесплатно»?». Сформулируй вежливый ответ с разбором возможных причин.",Клиентский сервис
"Составь скрипт разговора оператора с клиентом, который хочет закрыть вклад досрочно.",Клиентский сервис
"Клиент-пенсионер просит объяснить, как оплатить ЖКХ через мобильное приложение, но боится «нажать не туда». Составь пошаговую инструкцию с учётом низкой цифровой грамотности.",Клиентский сервис
"Клиент написал негативный отзыв: «Три дня жду ответа от поддержки, это неуважение!». Сформулируй ответ от имени банка, который снимет напряжение и предложит решение.",Клиентский сервис
"Клиент спрашивает: «Можно ли временно заморозить карту, если я потерял телефон, но не уверен, что её украли?». Опиши алгоритм действий.",Клиентский сервис
Какой вклад выгоднее: с ежемесячной капитализацией или с выплатой процентов в конце срока?,Финансовые продукты и консультации
Мне одобрили кредитную карту с лимитом 300 000 ₽. Как использовать её максимально выгодно?,Финансовые продукты и консультации
Клиент спрашивает: «В чём разница между дебетовой картой с кэшбэком и кредитной картой с льготным периодом? Когда что выгоднее?». Объясни с примерами использования.,Финансовые продукты и консультации
Застройщик интересуется условиями открытия эскроу-счетов для проекта жилищного строительства.,Финансовые продукты и консультации
Подготовьте структурированный ответ:,Финансовые продукты и консультации
"1. Базовые требования к проекту: стадия готовности, разрешение на строительство, проектная декларация",Финансовые продукты и консультации
"2. Механика работы эскроу: блокировка средств, условия раскрытия, возврат покупателю",Финансовые продукты и консультации
"3. Стоимость обслуживания: ставка за размещение, комиссии за операции",Финансовые продукты и консультации
Мне пришло сообщение от 'банка' с просьбой подтвердить данные по ссылке. Это нормально?,Информационная безопасность
Как банк защищает мои персональные данные при онлайн-платежах?,Информационная безопасность
Клиент получил SMS: «Ваш счёт временно заблокирован. Для разблокировки перейдите по ссылке и введите код из SMS». Как правильно проинструктировать пользователя?,Информационная безопасность
Клиент получил звонок от «службы безопасности банка» с просьбой назвать код из СМС. Как правильно проинструктировать пользователя?,Информационная безопасность
"Как объяснить сотруднику, почему нельзя использовать один и тот же пароль для корпоративных систем и личных аккаунтов?",Информационная безопасность
Клиент спрашивает: «Безопасно ли использовать биометрию для входа в приложение? Что если мои данные утекут?». Дай сбалансированный ответ.,Информационная безопасность
"Как объяснить сотруднику, почему нельзя подключать личные устройства к корпоративной сети без согласования с ИБ?",Информационная безопасность
"Составь инструкцию: «Что делать, если вы подозреваете, что ваш аккаунт в мобильном банке скомпрометирован».",Информационная безопасность
Клиент совершает серию мелких покупок в разных регионах за короткий промежуток времени. Как система должна интерпретировать этот паттерн?,Мониторинг / Антифрод
"Как объяснить клиенту, почему его транзакция была отклонена, не раскрывая правила работы антифрод-системы?",Мониторинг / Антифрод
"В системе мониторинга зафиксирован паттерн: несколько новых счетов получают небольшие переводы от разных отправителей, а затем средства консолидируются на одном счёте и выводятся. Какие признаки «транзитной схемы» выделить для аналитика?",Мониторинг / Антифрод
"Клиент сообщает о несанкционированной операции. Какие данные и метрики система должна автоматически собрать для расследования инцидента, чтобы ускорить принятие решения?",Мониторинг / Антифрод
От чего зависит решение по одобрению ипотеки?,Кредитование
Как улучшить кредитную историю перед подачей заявки на кредит?,Кредитование
"Составь чек-лист документов для подачи заявки на ипотеку для физического лица, работающего по трудовому договору. Укажи, какие из них могут потребовать нотариального заверения.",Кредитование
"Рассчитай примерный ежемесячный платёж по кредиту 1,5 млн руб. на 5 лет под 18% годовых",Кредитование
"Какие факторы могут стать причиной отказа в одобрении потребительского кредита, даже если у клиента хорошая кредитная история?",Кредитование
"Клиент хочет взять кредит на ремонт, но не может подтвердить доход справкой 2-НДФЛ. Какие альтернативные способы оценки платёжеспособности может предложить банк?",Кредитование
